id;nome;cpf;data_nascimento;matricula
1;holistic Architect;blue Rubber;2021-03-03;European Unit of Account 9(E.U.A.-9) New Jersey explicit
2;deposit Guarani Saint Martin;Architect alarm Human;2021-03-03;Steel e-commerce Kids
3;connect;neural-net back-end support;2021-03-03;Wooden Ports
4;XSS;Metal Pataca;2021-03-03;reboot Handmade whiteboard
5;Sports;Senior International;2021-03-03;Bangladesh neural
6;West Virginia Wooden;Savings Account Money Market Account;2021-03-03;Norway
7;Italy;archive;2021-03-03;Indiana
8;Auto Loan Account Computers Avon;West Virginia Front-line;2021-03-03;Burkina Faso Pizza Port
9;Horizontal Plastic Rustic Metal Keyboard;Berkshire;2021-03-03;input
10;calculate;motivating Paradigm;2021-03-03;Alley cultivate
